Site ID,Date Collected,Quadrat Number,Size mm,Alive/Dead,Number of Drill Holes,Presence of Boring Sponge,Collected for Disease Testing,New Recruit
Nin-4S,5/3/2016 0:00:00,3,13,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,30,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,32,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,36,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,18,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,16,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,22,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,26,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,31,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,31,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,28,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,45,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,35,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,25,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,17,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,32,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,23,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,16,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,12,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,13,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,18,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,25,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,17,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,19,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,26,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,37,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,28,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,22,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,24,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,24,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,20,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,20,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,19,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,22,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,3,23,9,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,34,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,24,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,18,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,25,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,24,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,28,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,16,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,15,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,31,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,28,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,20,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,19,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,17,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,18,8,0,0,0,0
Nin-1S,5/11/2016 0:00:00,1,15,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,23,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,21,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,28,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,31,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,7,8,0,0,0,1
Nin-4S,5/3/2016 0:00:00,6,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,37,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,35,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,29,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,30,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,28,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,26,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,39,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,31,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,35,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,32,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,29,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,27,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,24,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,35,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,32,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,33,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,22,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,32,9,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,17,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,30,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,34,8,0,0,0,0
Nin-4S,5/3/2016 0:00:00,6,36,8,0,0,0,0
